PID,Description,Units,Data Type,Multiply,Divide,Add
0x4002,Status switching states 1,Bit,BITFIELD,1,1,0
0x4201,Ambient pressure,hPa,unsigned int,10,256,0
0x4205,Boost pressure,hPa,unsigned int,20,256,0
0x4206,Mass flow through throttle valve bank 1,kg/h,unsigned int,1,32,0
0x4300,Coolant temperature,Â°C,unsigned char,0.75,1,-48
0x4306,Confirmed target speed electr. water pump,1/min,unsigned char,1,1,0
0x4307,Status message electr. water pump,-,unsigned char,1,1,0
0x4308,Set speed of electric water pump,1/min,unsigned char,1,1,0
0x4310,Target temperature coolant,-,signed int,1,100,0
0x4402,Oil temperature after filter,Â°C,unsigned int,0.75,1,-48
0x4403,Fuel consumption since the last oil change,-,unsigned long,1,8192,0
0x4404,Kilometers of oil,km,unsigned int,10,1,0
0x4408,Oil temperature unfiltered,Â°C,signed int,1,10,0
0x4409,Unfiltered oil level,-,unsigned char,75,256,0
0x4411,Remaining distance derived from fuel consumption,-,signed int,1,0.1,0
0x4412,Oil life,mth,unsigned int,1,1,0
0x4421,Oil pressure regulator P component,-,signed int,2,65536,0
0x4422,Oil pressure regulator I component,-,signed int,2,65536,0
0x4423,Oil pressure regulator D component,-,signed int,2,65536,0
0x4425,Oil temperature in the sump,Â°C,signed int,1,10,0
0x4426,"Actual operating mode, oil pressure control",-,unsigned char,1,1,0
0x442C,Raw value oil level,mm,unsigned char,1,1,0
0x4436,Actual oil pressure value (absolute pressure),hPa,unsigned int,1,1,0
0x4501,Integrated offset stroke adaptation,-,signed int,0.001,1,0
0x4505,Target angle (inlet VANOS),Â° KW,signed int,1,128,0
0x4506,Angle of the inlet NW flanks relative to the crankshaft,Â° KW,unsigned int,1,10,0
0x4507,Angle of the outlet NW flanks relative to the crankshaft,Â° KW,unsigned int,1,10,0
0x4516,Status VVT stop learning (internal),-,unsigned char,1,1,0
0x4520,Effective engine power,-,unsigned int,1000,65536,0
0x4521,Fuel mass flow,kg/h,unsigned int,0.1,1,0
0x4522,"Fuel mass homogeneous as target value, cylinder 1",mg/stroke,unsigned int,1389,65535,0
0x4523,"Fuel mass homogeneous as target value, cylinder 2",mg/stroke,unsigned int,1389,65535,0
0x4524,"Fuel mass homogeneous as target value, cylinder 3",mg/stroke,unsigned int,1389,65535,0
0x4525,"Fuel mass homogeneous as target value, cylinder 4",mg/stroke,unsigned int,1389,65535,0
0x452A,Setpoint outlet spread variable NWS,Â° KW,signed int,1,10,0
0x452B,Setpoint inlet spread variable NWS,Â° KW,signed int,1,10,0
0x452C,Actual value of the outlet spread,Â° KW,signed int,1,10,0
0x452E,Actual value inlet spread,Â° KW,signed int,1,10,0
0x4530,"Injection mode, cylinder 1",-,unsigned char,1,1,0
0x4531,"Injection mode, cylinder 2",-,unsigned char,1,1,0
0x4532,"Injection mode, cylinder 3",-,unsigned char,1,1,0
0x4533,"Injection mode, cylinder 4",-,unsigned char,1,1,0
0x4536,Control difference boost pressure - bank-specific bank 1,hPa,signed int,125,1000,0
0x4600,Throttle valve angle related to the lower stop,% DK,signed int,1600,65536,0
0x4601,"Target value for throttle valve angle, based on (lower) stop",%,unsigned int,100,65536,0
0x4603,Inlet valve lift setpoint filtered,mm,unsigned int,1,1000,0
0x4604,Output current of the machine,A,signed int,1,8,0
0x4606,Current battery current,A,unsigned int,0.08,1,-200
0x460D,Correction value shutdown,%,unsigned int,0.004,1,-100
0x460E,Distance to starting ability,%,unsigned int,0.004,1,-100
0x4611,Duty cycle electric fan,-,unsigned char,1,1,0
0x4616,Physically. Input value (sec.) For load response time,s,unsigned char,0.1,1,0
0x4617,Decreased moment of the electric machine,Nm,signed int,1,10,0
0x4650,Transmission temperature,Â°C,unsigned char,0.75,1,-48
0x4653,Sensor voltage position sensor electrical wastegate,V,unsigned int,80,65536,0
0x4654,Raw value position sensor electrical wastegate,mm,signed int,64,65536,0
0x4683,Speed gear input,1/min,unsigned int,0.1453421,1,0
0x4702,Offset corrected probe voltage in front of the catalyst of a broadband lambda probe,V,unsigned int,1,2048,0
0x4712,Number of dense EVAP systems recognized by diagnosis,-,unsigned char,1,1,0
0x4807,Engine speed,1/min,unsigned int,0.25,1,0
0x4808,Target idle speed,1/min,unsigned int,0.25,1,0
0x480B,Normalized accelerator pedal angle,%,unsigned int,100,65535,0
0x480C,Target filling,%,unsigned int,0.75,32,0
0x480D,Is the longitudinal slope of the roadway,Â°,unsigned int,0.05,1,-64
0x4810,Is banked road surface,Â°,unsigned int,0.05,1,-64
0x4811,Vehicle longitudinal acceleration,m/sÂ²,signed char,0.217,1,0
0x4812,Vehicle lateral acceleration (positive and negative),m/sÂ²,signed int,1,640,0
0x48D0,Estimation of the distance until the OPF is fully loaded with ash,km,unsigned int,10,1,0
0x4A00,Average distance between critical DMF faults,km,unsigned int,1,1,0
0x4A01,Average value of the time interval between critical ZMS faults,min,unsigned int,10,1,0
0x4A1D,Brake booster pressure sensor voltage,V,unsigned int,5,1024,0
0x4A21,Coolant temperature (sensor value) after low-pass filtering,Â°C,unsigned char,0.75,1,-48
0x4A2D,Intake manifold absolute pressure measured,hPa,unsigned int,20,256,0
0x4A30,Uneven running of cylinder 1,1/sÂ²,signed int,0.00710545,1,0
0x4A31,Uneven running cylinder 2,1/sÂ²,signed int,0.00710545,1,0
0x4A32,Uneven running cylinder 3,1/sÂ²,signed int,0.00710545,1,0
0x4A33,Uneven running cylinder 4,1/sÂ²,signed int,0.00710545,1,0
0x4A37,Normalized reference level knock control cylinder 1,V,unsigned int,5,1024,0
0x4A38,Normalized reference level knock control cylinder 2,V,unsigned int,5,1024,0
0x4A39,Normalized reference level knock control cylinder 3,V,unsigned int,5,1024,0
0x4A3A,Normalized reference level knock control cylinder 4,V,unsigned int,5,1024,0
0x4A49,Firing angle cylinder 1,Â° KW,signed int,1,10,0
0x4A4A,Firing angle cylinder 2,Â° KW,signed int,1,10,0
0x4A4C,Firing angle cylinder 3,Â° KW,signed int,1,10,0
0x4A4D,Firing angle cylinder 4,Â° KW,signed int,1,10,0
0x4A6C,Correction factor for the amount of fuel,%,signed char,1,1000,0
0x4A77,Output duty cycle for tank vent valve,%,unsigned int,100,65536,0
0x4A94,Saved camshaft target angle exhaust,Â° KW,signed int,1,128,0
0x4A9D,Multiplicative mixture correction of the mixture adaptation,-,unsigned int,2,65536,0
0x4AB0,Boost pressure setpoint,hPa,unsigned int,10,256,0
0x4AB1,Vehicle speed,km/h,unsigned int,512,65536,0
0x4ABF,Consumption without regulator,l/h,unsigned int,255,65535,0
0x4AC0,Consumption with regulator,l/h,unsigned int,255,65535,0
0x4ACC,Air damper - target position in steps,-,unsigned int,1,1,0
0x4ACD,Air damper - actual position in steps,-,unsigned int,1,1,0
0x4ACE,Air damper - target position in degrees,-,unsigned char,128,255,0
0x4ACF,Air damper - actual position in degrees,-,unsigned char,128,255,0
0x4AD2,Air flap - upper air flap status,-,unsigned char,1,1,0
0x4AD3,Air flap - lower air flap status,-,unsigned char,1,1,0
0x4AD5,Fuel temperature,Â°C,unsigned char,0.75,1,-48
0x4AEC,Motor temperature between 98 Â° C and 112 Â° C,%,unsigned int,100,65536,0
0x4AED,Motor temperature between 113 Â° C and 120 Â° C,%,unsigned int,100,65536,0
0x4AEE,Motor temperature between 121 Â° C and 125 Â° C,%,unsigned int,100,65536,0
0x4AF6,Gearbox temperature between 80 Â° C and 109 Â° C,%,unsigned int,100,65536,0
0x4AF7,Gearbox temperature between 110 Â° C and 124 Â° C,%,unsigned int,100,65536,0
0x4AF8,Gearbox temperature between 125 Â° C and 129 Â° C,%,unsigned int,100,65536,0
0x4AFB,Ambient temperature between 3 Â° C and 19 Â° C,%,unsigned int,100,65536,0
